Scope,Family,Segment,Rule,Selection,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
ALL_HOURS,COMBINED,DEV,SPEED,ELIGIBLE,877,667,204,6,76.57864523536165,1295,1.4766248574686431,0.9766248574686431,0.47662485746864314,-0.023375142531356863
ALL_HOURS,COMBINED,DEV,SPEED,KEPT,418,324,91,3,78.07228915662651,710,1.6985645933014355,1.1985645933014355,0.6985645933014355,0.1985645933014355
ALL_HOURS,COMBINED,DEV,SPEED,DROPPED,459,343,113,3,75.21929824561404,585,1.2745098039215685,0.7745098039215685,0.27450980392156854,-0.22549019607843146
ALL_HOURS,COMBINED,DEV,SPEED,MISSING,66,46,19,1,70.76923076923077,40,0.6060606060606061,0.10606060606060608,-0.3939393939393939,-0.8939393939393939
ALL_HOURS,COMBINED,LATER,BASELINE,ALL,1040,776,246,18,75.92954990215264,1420,1.3653846153846154,0.8653846153846154,0.3653846153846154,-0.13461538461538458
ALL_HOURS,COMBINED,LATER,ROOM,ELIGIBLE,1040,776,246,18,75.92954990215264,1420,1.3653846153846154,0.8653846153846154,0.3653846153846154,-0.13461538461538458
ALL_HOURS,COMBINED,LATER,ROOM,KEPT,874,657,199,18,76.75233644859813,1295,1.4816933638443937,0.9816933638443937,0.48169336384439365,-0.01830663615560635
ALL_HOURS,COMBINED,LATER,ROOM,DROPPED,166,119,47,0,71.6867469879518,125,0.7530120481927711,0.2530120481927711,-0.24698795180722888,-0.7469879518072289
ALL_HOURS,COMBINED,LATER,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,COMBINED,LATER,DEPTH,ELIGIBLE,972,724,232,16,75.73221757322176,1300,1.337448559670782,0.8374485596707819,0.3374485596707819,-0.1625514403292181
ALL_HOURS,COMBINED,LATER,DEPTH,KEPT,301,221,74,6,74.91525423728814,365,1.212624584717608,0.712624584717608,0.21262458471760803,-0.28737541528239197
ALL_HOURS,COMBINED,LATER,DEPTH,DROPPED,671,503,158,10,76.09682299546142,935,1.3934426229508197,0.8934426229508197,0.39344262295081966,-0.10655737704918034
ALL_HOURS,COMBINED,LATER,DEPTH,MISSING,68,52,14,2,78.78787878787878,120,1.7647058823529411,1.2647058823529411,0.7647058823529411,0.2647058823529411
ALL_HOURS,COMBINED,LATER,SPEED,ELIGIBLE,961,721,230,10,75.8149316508938,1305,1.3579604578563995,0.8579604578563995,0.3579604578563995,-0.14203954214360048
ALL_HOURS,COMBINED,LATER,SPEED,KEPT,462,347,111,4,75.76419213973799,625,1.352813852813853,0.8528138528138529,0.3528138528138529,-0.1471861471861471
ALL_HOURS,COMBINED,LATER,SPEED,DROPPED,499,374,119,6,75.86206896551724,680,1.3627254509018036,0.8627254509018036,0.36272545090180364,-0.13727454909819636
ALL_HOURS,COMBINED,LATER,SPEED,MISSING,79,55,16,8,77.46478873239437,115,1.4556962025316456,0.9556962025316456,0.45569620253164556,-0.044303797468354444
ALL_HOURS,COMBINED,LONG,BASELINE,ALL,978,739,235,4,75.87268993839835,1345,1.3752556237218814,0.8752556237218814,0.37525562372188137,-0.12474437627811863
ALL_HOURS,COMBINED,LONG,ROOM,ELIGIBLE,978,739,235,4,75.87268993839835,1345,1.3752556237218814,0.8752556237218814,0.37525562372188137,-0.12474437627811863
ALL_HOURS,COMBINED,LONG,ROOM,KEPT,796,609,184,3,76.796973518285,1205,1.513819095477387,1.013819095477387,0.5138190954773869,0.013819095477386911
ALL_HOURS,COMBINED,LONG,ROOM,DROPPED,182,130,51,1,71.8232044198895,140,0.7692307692307693,0.2692307692307693,-0.23076923076923073,-0.7307692307692307
ALL_HOURS,COMBINED,LONG,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,COMBINED,LONG,DEPTH,ELIGIBLE,913,691,220,2,75.85071350164654,1255,1.3745892661555312,0.8745892661555312,0.37458926615553123,-0.12541073384446877
ALL_HOURS,COMBINED,LONG,DEPTH,KEPT,289,211,77,1,73.26388888888889,285,0.986159169550173,0.486159169550173,-0.01384083044982698,-0.513840830449827
ALL_HOURS,COMBINED,LONG,DEPTH,DROPPED,624,480,143,1,77.04654895666131,970,1.5544871794871795,1.0544871794871795,0.5544871794871795,0.054487179487179516
ALL_HOURS,COMBINED,LONG,DEPTH,MISSING,65,48,15,2,76.19047619047619,90,1.3846153846153846,0.8846153846153846,0.3846153846153846,-0.11538461538461542
ALL_HOURS,COMBINED,LONG,SPEED,ELIGIBLE,909,690,217,2,76.07497243660418,1280,1.4081408140814082,0.9081408140814082,0.40814081408140823,-0.09185918591859177
ALL_HOURS,COMBINED,LONG,SPEED,KEPT,423,327,94,2,77.67220902612827,695,1.6430260047281324,1.1430260047281324,0.6430260047281324,0.14302600472813243
ALL_HOURS,COMBINED,LONG,SPEED,DROPPED,486,363,123,0,74.69135802469135,585,1.2037037037037037,0.7037037037037037,0.20370370370370372,-0.2962962962962963
ALL_HOURS,COMBINED,LONG,SPEED,MISSING,69,49,18,2,73.13432835820896,65,0.9420289855072463,0.44202898550724634,-0.05797101449275366,-0.5579710144927537
ALL_HOURS,COMBINED,SHORT,BASELINE,ALL,1005,750,234,21,76.21951219512195,1410,1.4029850746268657,0.9029850746268657,0.4029850746268657,-0.09701492537313428
ALL_HOURS,COMBINED,SHORT,ROOM,ELIGIBLE,1005,750,234,21,76.21951219512195,1410,1.4029850746268657,0.9029850746268657,0.4029850746268657,-0.09701492537313428
ALL_HOURS,COMBINED,SHORT,ROOM,KEPT,835,626,188,21,76.90417690417691,1250,1.4970059880239521,0.9970059880239521,0.4970059880239521,-0.0029940119760478723
ALL_HOURS,COMBINED,SHORT,ROOM,DROPPED,170,124,46,0,72.94117647058823,160,0.9411764705882353,0.4411764705882353,-0.05882352941176472,-0.5588235294117647
ALL_HOURS,COMBINED,SHORT,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,COMBINED,SHORT,DEPTH,ELIGIBLE,944,703,221,20,76.08225108225108,1305,1.382415254237288,0.8824152542372881,0.38241525423728806,-0.11758474576271194
ALL_HOURS,COMBINED,SHORT,DEPTH,KEPT,283,211,64,8,76.72727272727273,415,1.4664310954063604,0.9664310954063604,0.4664310954063604,-0.03356890459363959
