Scope,Family,Segment,Feature,Bucket,Boundaries,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
PRIME,COMBINED,DEV,SpeedRatio,2,"(0, 0.5, 1, 2)",76,65,11,0,85.52631578947368,215,2.8289473684210527,2.3289473684210527,1.8289473684210527,1.3289473684210527
PRIME,COMBINED,DEV,SpeedRatio,3,"(0, 0.5, 1, 2)",60,49,11,0,81.66666666666667,135,2.25,1.75,1.25,0.75
PRIME,COMBINED,DEV,SpeedRatio,4,"(0, 0.5, 1, 2)",82,59,23,0,71.95121951219512,65,0.7926829268292683,0.29268292682926833,-0.20731707317073167,-0.7073170731707317
PRIME,COMBINED,DEV,SpeedRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1, 2)",20,14,6,0,70.0,10,0.5,0.0,-0.5,-1.0
PRIME,COMBINED,LATER,RoomTicks,1,"(0, 3, 6, 11)",10,10,0,0,100.0,50,5.0,4.5,4.0,3.5
PRIME,COMBINED,LATER,RoomTicks,2,"(0, 3, 6, 11)",34,25,9,0,73.52941176470588,35,1.0294117647058822,0.5294117647058822,0.02941176470588225,-0.47058823529411775
PRIME,COMBINED,LATER,RoomTicks,3,"(0, 3, 6, 11)",98,80,17,1,82.47422680412372,230,2.3469387755102042,1.8469387755102042,1.3469387755102042,0.8469387755102042
PRIME,COMBINED,LATER,RoomTicks,4,"(0, 3, 6, 11)",72,59,12,1,83.09859154929578,175,2.4305555555555554,1.9305555555555554,1.4305555555555554,0.9305555555555554
PRIME,COMBINED,LATER,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",112,86,26,0,76.78571428571429,170,1.5178571428571428,1.0178571428571428,0.5178571428571428,0.017857142857142794
PRIME,COMBINED,LATER,DepthRatio,1,"(0, 0.5, 1)",76,58,17,1,77.33333333333333,120,1.5789473684210527,1.0789473684210527,0.5789473684210527,0.07894736842105265
PRIME,COMBINED,LATER,DepthRatio,2,"(0, 0.5, 1)",91,71,20,0,78.02197802197803,155,1.7032967032967032,1.2032967032967032,0.7032967032967032,0.20329670329670324
