PullbackBars,Prior8Min,Prior24Min,GapMin,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
2,0,39,5,1,2.5,0,112,85,75.89,134,102,76.12
2,0,39,5,1,2.5,15,112,85,75.89,134,102,76.12
2,20,10,1.5,0,4.5,-999,554,390,70.4,602,418,69.44
2,20,10,1.5,0,4.5,0,486,342,70.37,545,377,69.17
2,20,10,1.5,0,4.5,15,390,273,70.0,420,289,68.81
2,20,10,1.5,0.5,4.5,-999,534,376,70.41,589,409,69.44
2,20,10,1.5,0.5,4.5,0,466,328,70.39,532,368,69.17
2,20,10,1.5,0.5,4.5,15,370,259,70.0,407,280,68.8
2,20,10,1.5,1,4.5,-999,508,357,70.28,553,389,70.34
2,20,10,1.5,1,4.5,0,440,309,70.23,496,348,70.16
2,20,10,1.5,1,4.5,15,344,240,69.77,371,260,70.08
2,20,10,1.5,1,2.5,-999,179,129,72.07,179,128,71.51
2,20,10,1.5,1,2.5,0,179,129,72.07,179,128,71.51
2,20,10,1.5,1,2.5,15,179,129,72.07,179,128,71.51
2,20,10,3,0,4.5,-999,464,330,71.12,514,355,69.07
2,20,10,3,0,4.5,0,421,299,71.02,470,320,68.09
2,20,10,3,0,4.5,15,350,248,70.86,377,256,67.9
2,20,10,3,0.5,4.5,-999,444,316,71.17,501,346,69.06
2,20,10,3,0.5,4.5,0,401,285,71.07,457,311,68.05
2,20,10,3,0.5,4.5,15,330,234,70.91,364,247,67.86
2,20,10,3,1,4.5,-999,418,297,71.05,468,328,70.09
2,20,10,3,1,4.5,0,375,266,70.93,424,293,69.1
2,20,10,3,1,4.5,15,304,215,70.72,331,229,69.18
2,20,10,3,1,2.5,-999,160,117,73.12,169,118,69.82
2,20,10,3,1,2.5,0,160,117,73.12,169,118,69.82
2,20,10,3,1,2.5,15,160,117,73.12,169,118,69.82
2,20,10,5,0,4.5,-999,314,227,72.29,354,250,70.62
2,20,10,5,0,4.5,0,292,210,71.92,340,238,70.0
2,20,10,5,0,4.5,15,256,185,72.27,293,203,69.28
2,20,10,5,0.5,4.5,-999,295,213,72.2,342,242,70.76
2,20,10,5,0.5,4.5,0,273,196,71.79,328,230,70.12
2,20,10,5,0.5,4.5,15,237,171,72.15,281,195,69.4
2,20,10,5,1,4.5,-999,269,194,72.12,313,226,72.2
2,20,10,5,1,4.5,0,247,177,71.66,299,214,71.57
2,20,10,5,1,4.5,15,211,152,72.04,252,179,71.03
2,20,10,5,1,2.5,-999,114,85,74.56,136,102,75.0
2,20,10,5,1,2.5,0,114,85,74.56,136,102,75.0
2,20,10,5,1,2.5,15,114,85,74.56,136,102,75.0
2,20,20,1.5,0,4.5,-999,549,387,70.49,596,414,69.46
2,20,20,1.5,0,4.5,0,482,339,70.33,541,375,69.32
2,20,20,1.5,0,4.5,15,388,272,70.1,418,288,68.9
2,20,20,1.5,0.5,4.5,-999,529,373,70.51,583,405,69.47
2,20,20,1.5,0.5,4.5,0,462,325,70.35,528,366,69.32
2,20,20,1.5,0.5,4.5,15,368,258,70.11,405,279,68.89
2,20,20,1.5,1,4.5,-999,503,354,70.38,547,385,70.38
2,20,20,1.5,1,4.5,0,436,306,70.18,492,346,70.33
