bar,time,direction,tail,body_ticks,distance8,close_extension,slope8,slope24,slope50,gap824,gap2450,body_depth,close_depth,strong_fan,moderate_fan,segment,outcome
31396,2026-08-27 06:31:59.912,-1,3.0,2.0,7.046011999998882,3.0,73.988196,63.979826,48.222804,12.716080000001966,4.812235999997938,10,10,True,True,HOLD,TARGET
31397,2026-08-27 06:32:02.392,-1,1.0,4.0,8.258011999998416,5.0,74.472666,65.601049,50.941051,14.123112000001129,5.8373480000009295,10,10,True,True,HOLD,TARGET
31398,2026-08-27 06:32:18.356,-1,5.0,0.0,6.089564000001701,1.0,73.906495,66.208618,52.465973,15.021067999998195,6.765940000001137,10,10,True,True,HOLD,TARGET
31400,2026-08-27 06:32:21.316,-1,1.0,4.0,4.04183600000033,3.0,69.941174,65.295381,53.044281,15.818203999999241,8.370888000001287,0,0,True,True,HOLD,TARGET
31401,2026-08-27 06:32:25.892,-1,0.0,0.0,7.810315999999148,1.0,67.601947,64.604958,53.047653,15.980920000001788,9.097303999998985,1,1,True,True,HOLD,STOP
31421,2026-08-27 06:34:05.388,-1,2.0,3.0,-0.42378000000098837,4.0,33.241369,7.753706,12.234995,0.027012000002287095,3.751619999999093,1,10,False,False,HOLD,TARGET
31422,2026-08-27 06:34:13.212,-1,1.0,4.0,2.4481679999989865,5.0,52.948807,22.714208,19.398905,1.3868040000015753,3.9961640000001353,10,10,False,False,HOLD,TARGET
31423,2026-08-27 06:34:17.652,-1,1.0,4.0,4.681907999998657,5.0,64.185527,37.178344,27.534448,3.0462680000018736,4.403699999998935,10,10,False,True,HOLD,TARGET
31424,2026-08-27 06:34:24.792,-1,4.0,1.0,4.085928000000422,2.0,68.172979,45.504579,33.334912,4.4639920000008715,4.83168399999704,10,10,False,True,HOLD,TARGET
31426,2026-08-27 06:34:32.436,-1,2.0,3.0,1.44704400000046,2.0,64.304763,47.430139,35.819659,6.015208000000712,5.504387999997562,0,0,False,True,HOLD,TARGET
31427,2026-08-27 06:34:54.392,-1,0.0,0.0,5.792143999999098,1.0,60.459672,46.529917,35.738207,6.5931280000004335,5.837579999999434,1,1,False,True,HOLD,TARGET
31428,2026-08-27 06:35:00.164,-1,4.0,1.0,-0.49499999999898137,-0.0,57.908869,46.410587,36.151163,6.889451999999437,6.1137759999983246,0,0,False,True,HOLD,TARGET
31429,2026-08-27 06:35:06.440,-1,2.0,3.0,1.6150000000016007,4.0,58.165696,47.720763,37.498683,7.547896000000037,6.501871999997093,1,1,False,True,HOLD,TARGET
31430,2026-08-27 06:35:16.656,-1,2.0,3.0,3.2561119999991206,4.0,61.546547,50.777453,40.089861,8.45375200000126,6.987659999998868,2,10,True,True,HOLD,STOP
31432,2026-08-27 06:35:24.180,-1,2.0,3.0,0.3401159999993979,2.0,60.371687,52.235055,42.13539,8.95031200000085,7.6602639999982785,0,0,True,True,HOLD,STOP
31450,2026-08-27 06:37:16.468,-1,1.0,4.0,2.055744000001141,5.0,47.259015,13.068009,12.594708,0.11677599999893573,2.9507159999993746,10,10,False,False,HOLD,TARGET
31452,2026-08-27 06:37:25.292,-1,1.0,4.0,1.601623999998992,3.0,61.25782,33.230091,23.57728,2.229196000000229,3.3963560000011057,0,0,False,True,HOLD,STOP
31469,2026-08-27 06:39:45.088,1,1.0,4.0,0.9668359999996028,5.0,46.522672,30.724036,15.160087,3.8051200000008976,0.18882400000074995,1,10,False,False,HOLD,TARGET
31470,2026-08-27 06:39:51.820,1,1.0,4.0,3.529763999998977,5.0,58.55029,40.034004,22.004206,5.060435999999754,0.7838840000003984,10,10,False,False,HOLD,TARGET
31471,2026-08-27 06:39:55.444,1,0.0,5.0,6.300928000000567,6.0,67.852903,50.184312,30.854704,6.722055999998702,1.5521159999989322,10,10,False,True,HOLD,TARGET
31472,2026-08-27 06:40:09.052,1,3.0,2.0,6.122943999998824,3.0,71.262187,55.898977,37.125464,8.21820000000298,2.3486559999983,10,10,False,True,HOLD,TARGET
31477,2026-08-27 06:41:05.392,1,0.0,5.0,0.3177399999985937,4.0,50.643099,47.851376,34.386965,8.592500000002474,4.483835999999428,0,0,False,True,HOLD,TARGET
31478,2026-08-27 06:41:07.732,1,1.0,4.0,3.0249079999994137,5.0,57.018063,50.883639,37.311638,9.372512000001734,5.079239999999118,1,10,False,True,HOLD,TARGET
31479,2026-08-27 06:41:18.100,1,2.0,3.0,4.352707999998529,4.0,65.172395,55.919302,42.05566,10.332916000003024,5.752735999998549,10,10,True,True,HOLD,TARGET
31480,2026-08-27 06:41:20.536,1,2.0,3.0,5.385439999998198,4.0,69.28336,59.62974,46.03288,11.405336000003444,6.493139999998675,10,10,True,True,HOLD,TARGET
31491,2026-08-27 06:42:42.132,1,1.0,4.0,-0.7574319999985164,5.0,1.538132,6.634954,15.71612,1.7076559999986785,5.536648000001151,5,5,False,False,HOLD,TARGET
31492,2026-08-27 06:42:45.488,1,1.0,4.0,2.188664000001154,5.0,48.542769,26.885758,25.005965,2.885544000000664,5.76611999999659,7,7,False,False,HOLD,TARGET
31493,2026-08-27 06:43:05.520,1,2.0,3.0,3.702292000001762,4.0,62.457136,40.023153,32.258048,4.24597999999969,6.114003999999113,9,9,False,True,HOLD,TARGET
31495,2026-08-27 06:43:18.596,1,0.0,5.0,0.9557080000013229,4.0,60.174788,43.232493,34.903561,5.298107999999047,6.493407999998453,0,0,False,True,HOLD,TARGET
31497,2026-08-27 06:43:34.728,1,2.0,3.0,-1.6564240000006976,2.0,47.844975,38.734016,32.84593,5.482452000000194,6.708800000000338,0,0,False,True,HOLD,TARGET
31502,2026-08-27 06:44:04.728,1,0.0,5.0,2.125295999998343,6.0,47.229405,38.721983,33.467381,6.086912000002485,7.220244000000093,1,10,False,True,HOLD,TARGET
31503,2026-08-27 06:44:04.728,1,0.0,5.0,5.208564000000479,6.0,62.872967,48.684086,39.734084,7.4666680000009364,7.720655999997689,10,10,True,True,HOLD,TARGET
31504,2026-08-27 06:44:04.728,1,0.0,5.0,7.606660000001284,6.0,70.674468,56.773654,45.955403,9.174552000000403,8.38346399999864,10,10,True,True,HOLD,TARGET
31506,2026-08-27 06:44:05.420,1,2.0,3.0,2.971927999999025,2.0,69.987034,59.497163,49.198285,10.610892000000604,9.337744000000384,0,0,True,True,HOLD,TARGET
31508,2026-08-27 06:44:51.420,1,3.0,2.0,-0.004636000001482898,1.0,60.275129,55.692616,47.280477,10.80673200000092,10.009236000001692,0,0,True,True,HOLD,TARGET
31509,2026-08-27 06:44:53.716,1,2.0,3.0,1.99639599999864,4.0,58.912113,55.499152,47.538139,11.22153199999957,10.424332000002323,1,1,False,True,HOLD,TARGET
31666,2026-08-27 07:00:42.208,1,3.0,2.0,-1.6054159999985131,3.0,23.260168,22.057972,10.357315,3.4100239999970654,0.09514800000033574,4,4,False,False,HOLD,TARGET
31669,2026-08-27 07:00:55.024,1,5.0,0.0,-2.0873199999987264,1.0,26.287932,23.670943,12.675547,3.576836000000185,0.7355040000002191,1,1,False,False,HOLD,TARGET
31673,2026-08-27 07:01:15.852,1,0.0,5.0,0.19484000000011292,6.0,19.639402,21.065871,12.872334,3.619964000001346,1.441315999996732,1,2,False,False,HOLD,TARGET
31674,2026-08-27 07:01:29.612,1,4.0,1.0,0.5959880000009434,2.0,47.527793,32.931224,19.968697,4.35363199999847,1.8258679999999003,3,10,False,False,HOLD,TARGET
31675,2026-08-27 07:01:36.896,1,0.0,0.0,5.130212000000029,1.0,56.594958,39.891783,25.020796,4.943436000001384,2.2008399999976973,10,10,False,True,HOLD,STOP
31686,2026-08-27 07:02:41.352,1,4.0,1.0,-3.6096599999982573,2.0,-16.424456,4.938194,8.909903,2.0225439999994705,2.8623159999988275,1,2,False,False,HOLD,TARGET
31687,2026-08-27 07:02:50.924,1,1.0,4.0,-0.029736000000411877,5.0,30.350747,20.446611,16.405261,2.769587999999203,3.0931799999998475,3,6,False,False,HOLD,STOP
31691,2026-08-27 07:03:33.368,1,4.0,1.0,-3.8660879999988538,2.0,-11.337203,6.196284,9.794194,1.9010439999983646,2.9730239999989863,1,1,False,False,HOLD,TARGET
31692,2026-08-27 07:03:45.068,1,2.0,3.0,-1.0069560000010824,4.0,23.588584,17.39144,15.132598,2.47911600000225,3.1433479999977862,2,3,False,False,HOLD,TARGET
31695,2026-08-27 07:03:57.016,1,3.0,2.0,0.22032000000035623,3.0,42.745379,28.410889,21.362023,3.629007999999885,3.5927879999981087,1,10,False,False,HOLD,TARGET
31696,2026-08-27 07:03:59.188,1,2.0,3.0,2.171360000000277,4.0,56.894394,38.344048,27.455651,4.650023999998666,3.9759440000016184,10,10,False,True,HOLD,STOP
