bar,time,direction,entry,families,segment,outcome
10542,2026-08-07 07:23:37.936,1,7766.5,PIN7,DEV,TARGET
10544,2026-08-07 07:23:56.392,1,7768.25,PIN7,DEV,TARGET
10548,2026-08-07 07:24:15.416,1,7768.75,EMA8,DEV,TARGET
10550,2026-08-07 07:24:30.576,1,7768.5,EMA8,DEV,TARGET
10555,2026-08-07 07:25:38.068,1,7773.0,PIN,DEV,TARGET
10562,2026-08-07 07:27:00.716,1,7775.25,EMA8,DEV,TARGET
10569,2026-08-07 07:28:15.872,1,7776.5,EMA8,DEV,TARGET
10571,2026-08-07 07:28:27.940,1,7777.0,EMA8,DEV,TARGET
10573,2026-08-07 07:28:43.944,1,7778.5,PIN7,DEV,TARGET
10578,2026-08-07 07:29:34.648,1,7778.75,EMA8,DEV,TARGET
10581,2026-08-07 07:30:03.296,1,7780.25,EMA8,DEV,STOP
10590,2026-08-07 07:31:18.680,1,7775.25,EMA50,DEV,STOP
10627,2026-08-07 07:36:09.288,-1,7770.75,EMA8,DEV,TARGET
10630,2026-08-07 07:36:18.460,-1,7769.5,EMA8,DEV,TARGET
10668,2026-08-07 07:40:36.996,-1,7768.25,EMA24,DEV,TARGET
10670,2026-08-07 07:40:54.744,-1,7768.75,EMA50,DEV,TARGET
10674,2026-08-07 07:41:13.296,-1,7768.75,EMA50,DEV,TARGET
10695,2026-08-07 07:43:47.252,-1,7766.75,PIN7,DEV,TARGET
10714,2026-08-07 07:46:07.560,1,7772.0,EMA8,DEV,TARGET
10787,2026-08-07 07:58:15.320,1,7775.25,PIN7,DEV,TARGET
10795,2026-08-07 07:59:29.136,1,7774.75,EMA24,DEV,TARGET
11240,2026-08-07 11:06:26.044,-1,7766.75,PIN7,DEV,TARGET
11250,2026-08-07 11:13:32.356,-1,7764.5,PIN7,DEV,TARGET
11252,2026-08-07 11:14:36.620,-1,7763.0,PIN7,DEV,STOP
11256,2026-08-07 11:17:21.284,-1,7763.0,EMA8,DEV,STOP
11261,2026-08-07 11:20:49.996,-1,7764.25,EMA24,DEV,TARGET
11274,2026-08-07 11:31:12.824,-1,7761.25,PIN7,DEV,STOP
11317,2026-08-07 12:01:23.260,1,7767.75,PIN7,DEV,TARGET
11331,2026-08-07 12:07:24.296,1,7773.0,PIN,DEV,TARGET
11342,2026-08-07 12:13:23.056,1,7777.25,EMA8,DEV,TARGET
11344,2026-08-07 12:15:08.788,1,7777.5,EMA8,DEV,TARGET
11350,2026-08-07 12:16:59.584,1,7781.25,PIN7,DEV,TARGET
11440,2026-08-07 12:58:59.036,1,7782.5,PIN7,DEV,TARGET
