bar,time,text_time,direction,entry,early,result,won,tail,body,finish,s8,s24,s50,gap824,gap2450,body_distance8,bar_distance8,close_extension,prior_streak
706,63921408134,2026-08-03 02:42:14.500,1,7558.0,True,STOP,False,4.0,1.0,0.0,10.177349,6.144583,9.097806,0.8783600000024308,2.6887920000008307,1.1469599999982165,-2.8530400000017835,2.0,2
721,63921409604,2026-08-03 03:06:44.752,1,7558.75,True,TARGET,True,4.0,1.0,0.0,40.30815,18.259549,11.874347,1.5979960000004212,1.564328000000387,3.6914680000008957,-0.3085319999991043,2.0,2
726,63921410315,2026-08-03 03:18:35.608,1,7560.25,True,STOP,False,3.0,2.0,0.0,49.491262,32.484822,21.41499,3.9312280000012834,2.593003999998473,3.622879999998986,0.622879999998986,3.0,1
743,63921411639,2026-08-03 03:40:39.484,1,7562.25,True,TARGET,True,5.0,0.0,0.0,58.52141,39.507729,28.194565,4.66841199999908,3.9937119999995048,6.203588000000309,1.203588000000309,1.0,2
750,63921412604,2026-08-03 03:56:44.452,1,7562.5,True,STOP,False,4.0,1.0,0.0,22.365058,28.843439,24.667775,4.884996000000683,5.035243999998784,1.511372000000847,-2.488627999999153,2.0,1
751,63921412800,2026-08-03 04:00:00.692,1,7563.25,True,STOP,False,3.0,2.0,0.0,37.396702,33.690714,27.46037,5.278040000001056,5.261792000001151,2.2866199999989476,-0.7133800000010524,3.0,2
771,63921413870,2026-08-03 04:17:50.488,1,7562.75,True,TARGET,True,3.0,2.0,0.0,61.448933,30.170053,18.334315,1.671675999998115,1.7751080000016373,5.909744000000501,2.909744000000501,3.0,4
793,63921414910,2026-08-03 04:35:10.716,1,7566.5,True,STOP,False,3.0,2.0,0.0,22.74553,36.420017,30.275664,6.9490440000008675,6.019024000001082,1.3663239999987127,-1.6336760000012873,3.0,1
812,63921416088,2026-08-03 04:54:48.412,-1,7557.75,True,TARGET,True,4.0,1.0,0.0,69.768072,52.989153,31.657012,7.145907999998599,0.6039760000021488,8.66305199999988,4.66305199999988,2.0,4
816,63921416345,2026-08-03 04:59:05.860,-1,7556.0,True,TARGET,True,5.0,-0.0,0.0,64.782608,56.242983,39.206466,10.399099999998725,3.470292000001791,7.256516000001284,2.256516000001284,1.0,1
823,63921416637,2026-08-03 05:03:57.448,-1,7555.0,True,TARGET,True,4.0,1.0,0.0,50.035067,48.996662,37.689514,9.18094000000201,6.093003999998473,3.8493239999988873,-0.1506760000011127,2.0,3
827,63921416838,2026-08-03 05:07:18.176,-1,7554.0,True,STOP,False,3.0,2.0,0.0,46.179962,46.104438,37.358698,8.575495999997656,7.090835999999399,3.534404000001814,0.534404000001814,3.0,2
847,63921417839,2026-08-03 05:23:59.032,-1,7554.5,True,STOP,False,4.0,1.0,0.0,54.541272,26.045061,22.212135,1.7402360000014596,4.534299999999348,4.919183999998495,0.919183999998495,2.0,3
851,63921418042,2026-08-03 05:27:22.084,-1,7555.0,True,TARGET,True,4.0,1.0,0.0,13.081381,11.937238,15.357598,1.9368280000016966,4.316016000000673,1.7956039999990026,-2.2043960000009974,2.0,1
866,63921418715,2026-08-03 05:38:35.320,1,7561.0,True,TARGET,True,5.0,0.0,0.0,27.908006,35.586946,21.500761,6.407923999999184,1.7856439999995928,3.0077999999994063,-1.9922000000005937,1.0,1
867,63921418745,2026-08-03 05:39:05.728,1,7561.5,True,TARGET,True,4.0,1.0,0.0,42.937256,40.197977,25.172634,6.607508000000962,2.1812040000004345,2.894956000000093,-1.105043999999907,2.0,2
901,63921421030,2026-08-03 06:17:10.180,1,7564.75,True,TARGET,True,4.0,1.0,0.0,33.272121,13.011279,15.798472,1.0666479999999865,4.317696000001888,3.1792999999997846,-0.8207000000002154,2.0,2
916,63921421574,2026-08-03 06:26:14.928,-1,7557.5,True,TARGET,True,3.0,2.0,0.0,72.125546,56.219263,34.077664,7.8959519999989425,0.23696399999971618,9.02256000000125,6.022560000001249,3.0,4
917,63921421595,2026-08-03 06:26:35.488,-1,7556.75,True,TARGET,True,3.0,2.0,0.0,72.400333,58.657192,37.978188,9.25859599999967,1.1216039999999339,8.906436000001122,5.906436000001122,3.0,4
918,63921421631,2026-08-03 06:27:11.172,-1,7556.25,True,TARGET,True,4.0,1.0,0.0,71.816703,59.88318,40.518302,10.353488000000652,1.981604000000516,9.038339999999152,5.0383399999991525,2.0,4
931,63921421783,2026-08-03 06:29:43.092,-1,7550.25,True,TARGET,True,3.0,2.0,0.0,64.623327,61.031347,50.985244,13.882172000001447,10.085299999998824,6.630435999999463,3.630435999999463,3.0,2
935,63921421799,2026-08-03 06:29:59.028,-1,7546.25,True,TARGET,True,5.0,-0.0,0.0,73.970013,68.21521,59.250899,17.5032280000014,13.234683999999106,11.382055999998556,6.382055999998556,1.0,4
941,63921421801,2026-08-03 06:30:01.516,-1,7547.0,True,TARGET,True,3.0,2.0,0.0,-0.724906,51.089077,50.037689,13.388999999999214,15.071412000001146,0.21497599999929662,-2.7850240000007034,3.0,1
985,63921421865,2026-08-03 06:31:05.924,-1,7549.5,True,TARGET,True,3.0,2.0,0.0,53.732044,29.493803,17.536389,2.239208000002691,1.4361639999988256,1.4519599999985076,-1.5480400000014924,1.0,0
1025,63921421975,2026-08-03 06:32:55.424,1,7554.75,True,TARGET,True,3.0,2.0,0.0,50.989594,45.090645,30.396067,7.25227200000154,3.1983239999972284,1.3633079999999609,-1.6366920000000391,1.0,0
1033,63921422002,2026-08-03 06:33:22.224,1,7555.5,True,TARGET,True,3.0,2.0,0.0,38.765012,31.606846,24.060728,4.7377679999990505,4.109811999998783,2.89716000000044,-0.10283999999955995,3.0,2
1035,63921422008,2026-08-03 06:33:28.280,1,7557.5,True,TARGET,True,3.0,2.0,0.0,63.342379,47.947845,35.247645,6.826499999999214,5.038739999999962,6.320503999999346,3.320503999999346,3.0,4
