BarNumber,Time,Families,Direction,Horizon,TargetTicks,ExitReason,PnlTicks
2279,2026-08-04 02:25:29.016,EMA8,-1,24,5,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,24,10,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,24,15,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,24,20,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,24,25,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,24,30,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,48,5,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,48,10,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,48,15,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,48,20,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,48,25,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,48,30,HARD_STOP,-10.0000
2323,2026-08-04 03:37:36.624,EMA24,1,12,5,TARGET,5.0000
2323,2026-08-04 03:37:36.624,EMA24,1,12,10,TARGET,10.0000
2323,2026-08-04 03:37:36.624,EMA24,1,12,15,TARGET,15.0000
2323,2026-08-04 03:37:36.624,EMA24,1,12,20,TIME,14.0000
2323,2026-08-04 03:37:36.624,EMA24,1,12,25,TIME,14.0000
2323,2026-08-04 03:37:36.624,EMA24,1,12,30,TIME,14.0000
2323,2026-08-04 03:37:36.624,EMA24,1,24,5,TARGET,5.0000
2323,2026-08-04 03:37:36.624,EMA24,1,24,10,TARGET,10.0000
2323,2026-08-04 03:37:36.624,EMA24,1,24,15,TARGET,15.0000
2323,2026-08-04 03:37:36.624,EMA24,1,24,20,TARGET,20.0000
2323,2026-08-04 03:37:36.624,EMA24,1,24,25,TARGET,25.0000
2323,2026-08-04 03:37:36.624,EMA24,1,24,30,TIME,28.0000
2323,2026-08-04 03:37:36.624,EMA24,1,48,5,TARGET,5.0000
2323,2026-08-04 03:37:36.624,EMA24,1,48,10,TARGET,10.0000
2323,2026-08-04 03:37:36.624,EMA24,1,48,15,TARGET,15.0000
2323,2026-08-04 03:37:36.624,EMA24,1,48,20,TARGET,20.0000
2323,2026-08-04 03:37:36.624,EMA24,1,48,25,TARGET,25.0000
2323,2026-08-04 03:37:36.624,EMA24,1,48,30,TARGET,30.0000
2338,2026-08-04 03:45:07.924,EMA8,1,12,5,TARGET,5.0000
2338,2026-08-04 03:45:07.924,EMA8,1,12,10,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,12,15,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,12,20,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,12,25,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,12,30,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,24,5,TARGET,5.0000
2338,2026-08-04 03:45:07.924,EMA8,1,24,10,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,24,15,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,24,20,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,24,25,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,24,30,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,48,5,TARGET,5.0000
2338,2026-08-04 03:45:07.924,EMA8,1,48,10,BREAK_EVEN,0.0000
