Prior8Min,Prior24Min,Gap824Min,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
45,10,4,0.5,4.5,-999,232,167,71.98,276,198,71.74
45,10,4,0.5,4.5,0,229,164,71.62,272,194,71.32
45,10,4,0.5,4.5,15,213,152,71.36,250,176,70.4
45,10,4,1,4.5,-999,210,151,71.9,250,182,72.8
45,10,4,1,4.5,0,207,148,71.5,246,178,72.36
45,10,4,1,4.5,15,191,136,71.2,224,160,71.43
45,10,4,1,2.5,-999,111,86,77.48,122,86,70.49
45,10,4,1,2.5,0,111,86,77.48,122,86,70.49
45,10,4,1,2.5,15,111,86,77.48,122,86,70.49
45,10,5,0,4.5,-999,205,151,73.66,250,178,71.2
45,10,5,0,4.5,0,204,150,73.53,248,176,70.97
45,10,5,0,4.5,15,192,142,73.96,230,162,70.43
45,10,5,0.5,4.5,-999,188,139,73.94,239,170,71.13
45,10,5,0.5,4.5,0,187,138,73.8,237,168,70.89
45,10,5,0.5,4.5,15,175,130,74.29,219,154,70.32
45,10,5,1,4.5,-999,166,123,74.1,215,156,72.56
45,10,5,1,4.5,0,165,122,73.94,213,154,72.3
45,10,5,1,4.5,15,153,114,74.51,195,140,71.79
45,10,5,1,2.5,-999,88,71,80.68,108,79,73.15
45,10,5,1,2.5,0,88,71,80.68,108,79,73.15
45,10,5,1,2.5,15,88,71,80.68,108,79,73.15
45,20,1.5,0,4.5,-999,324,233,71.91,385,275,71.43
45,20,1.5,0,4.5,0,318,227,71.38,375,267,71.2
45,20,1.5,0,4.5,15,287,205,71.43,323,228,70.59
45,20,1.5,0.5,4.5,-999,306,221,72.22,373,266,71.31
45,20,1.5,0.5,4.5,0,300,215,71.67,363,258,71.07
45,20,1.5,0.5,4.5,15,269,193,71.75,311,219,70.42
45,20,1.5,1,4.5,-999,284,205,72.18,343,248,72.3
45,20,1.5,1,4.5,0,278,199,71.58,333,240,72.07
45,20,1.5,1,4.5,15,247,177,71.66,281,201,71.53
45,20,1.5,1,2.5,-999,138,104,75.36,141,99,70.21
45,20,1.5,1,2.5,0,138,104,75.36,141,99,70.21
45,20,1.5,1,2.5,15,138,104,75.36,141,99,70.21
45,20,3,0,4.5,-999,288,209,72.57,337,236,70.03
45,20,3,0,4.5,0,283,204,72.08,328,228,69.51
45,20,3,0,4.5,15,261,188,72.03,292,202,69.18
45,20,3,0.5,4.5,-999,270,197,72.96,325,227,69.85
45,20,3,0.5,4.5,0,265,192,72.45,316,219,69.3
45,20,3,0.5,4.5,15,243,176,72.43,280,193,68.93
45,20,3,1,4.5,-999,248,181,72.98,298,211,70.81
45,20,3,1,4.5,0,243,176,72.43,289,203,70.24
45,20,3,1,4.5,15,221,160,72.4,253,177,69.96
45,20,3,1,2.5,-999,126,97,76.98,134,92,68.66
45,20,3,1,2.5,0,126,97,76.98,134,92,68.66
45,20,3,1,2.5,15,126,97,76.98,134,92,68.66
45,20,4,0,4.5,-999,250,179,71.6,287,206,71.78
45,20,4,0,4.5,0,247,176,71.26,283,202,71.38
45,20,4,0,4.5,15,231,164,71.0,261,184,70.5
45,20,4,0.5,4.5,-999,232,167,71.98,276,198,71.74
45,20,4,0.5,4.5,0,229,164,71.62,272,194,71.32
45,20,4,0.5,4.5,15,213,152,71.36,250,176,70.4
45,20,4,1,4.5,-999,210,151,71.9,250,182,72.8
45,20,4,1,4.5,0,207,148,71.5,246,178,72.36
45,20,4,1,4.5,15,191,136,71.2,224,160,71.43
45,20,4,1,2.5,-999,111,86,77.48,122,86,70.49
45,20,4,1,2.5,0,111,86,77.48,122,86,70.49
45,20,4,1,2.5,15,111,86,77.48,122,86,70.49
45,20,5,0,4.5,-999,205,151,73.66,250,178,71.2
45,20,5,0,4.5,0,204,150,73.53,248,176,70.97
45,20,5,0,4.5,15,192,142,73.96,230,162,70.43
45,20,5,0.5,4.5,-999,188,139,73.94,239,170,71.13
45,20,5,0.5,4.5,0,187,138,73.8,237,168,70.89
45,20,5,0.5,4.5,15,175,130,74.29,219,154,70.32
45,20,5,1,4.5,-999,166,123,74.1,215,156,72.56
45,20,5,1,4.5,0,165,122,73.94,213,154,72.3
45,20,5,1,4.5,15,153,114,74.51,195,140,71.79
45,20,5,1,2.5,-999,88,71,80.68,108,79,73.15
45,20,5,1,2.5,0,88,71,80.68,108,79,73.15
45,20,5,1,2.5,15,88,71,80.68,108,79,73.15
