Configuration,BarNumber,Time,Direction,Families,Segment,Outcome,TicksSeen
R4_TAIL3_4,6489,2026-08-05 12:02:01.396,-1,EMA50,DEV,TARGET,5264
R4_TAIL3_4,6491,2026-08-05 12:02:26.104,-1,EMA50,DEV,TARGET,2669
R4_TAIL3_4,6495,2026-08-05 12:03:26.324,-1,EMA50,DEV,TARGET,1207
R4_TAIL3_4,6539,2026-08-05 12:22:13.172,1,EMA50,DEV,TARGET,3848
R4_TAIL3_4,6541,2026-08-05 12:22:26.556,1,EMA50,DEV,TARGET,3398
R4_TAIL3_4,6566,2026-08-05 12:35:01.444,-1,EMA8,DEV,TARGET,571
R4_TAIL3_4,6587,2026-08-05 12:43:49.232,-1,EMA50,DEV,TARGET,2355
R4_TAIL3_4,6652,2026-08-05 12:58:04.048,-1,EMA8,DEV,TARGET,1622
R4_TAIL3_4,6656,2026-08-05 12:59:03.100,-1,PIN,DEV,TARGET,317
R4_TAIL3_4,6669,2026-08-05 12:59:39.008,-1,EMA8,DEV,TARGET,3
R4_TAIL3_4,6673,2026-08-05 12:59:43.020,-1,PIN,DEV,TARGET,45
R4_TAIL3_4,6685,2026-08-05 12:59:55.068,-1,PIN7,DEV,STOP,1484
R4_TAIL3_4,7966,2026-08-06 06:31:29.824,-1,EMA8,DEV,TARGET,675
R4_TAIL3_4,7972,2026-08-06 06:31:40.116,-1,EMA24,DEV,TARGET,1555
R4_TAIL3_4,7979,2026-08-06 06:32:05.992,-1,PIN7,DEV,TARGET,1084
R4_TAIL3_4,8006,2026-08-06 06:33:56.268,-1,EMA24,DEV,TARGET,8687
R4_TAIL3_4,8038,2026-08-06 06:35:19.952,1,EMA24,DEV,STOP,10782
R4_TAIL3_4,8093,2026-08-06 06:38:39.704,1,EMA50,DEV,TARGET,802
R4_TAIL3_4,8110,2026-08-06 06:39:35.712,-1,EMA8,DEV,TARGET,2812
R4_TAIL3_4,8114,2026-08-06 06:39:52.340,-1,EMA8,DEV,TARGET,1312
R4_TAIL3_4,8156,2026-08-06 06:42:10.300,1,EMA24,DEV,TARGET,269
R4_TAIL3_4,8188,2026-08-06 06:43:58.852,1,EMA24,DEV,TARGET,244
R4_TAIL3_4,8454,2026-08-06 07:07:07.108,1,PIN7,DEV,TARGET,46
R4_TAIL3_4,8462,2026-08-06 07:08:11.956,1,EMA24,DEV,TARGET,7602
R4_TAIL3_4,8470,2026-08-06 07:09:51.256,1,EMA24,DEV,TARGET,907
R4_TAIL3_4,8477,2026-08-06 07:10:37.680,1,EMA8,DEV,TARGET,5281
R4_TAIL3_4,8484,2026-08-06 07:11:57.032,1,EMA8,DEV,STOP,7721
R4_TAIL3_4,8488,2026-08-06 07:12:37.192,1,EMA24,DEV,STOP,2523
R4_TAIL3_4,8504,2026-08-06 07:15:00.052,1,EMA50,DEV,STOP,1427
R4_TAIL3_4,8534,2026-08-06 07:19:54.964,1,EMA8,DEV,STOP,8859
R4_TAIL3_4,8540,2026-08-06 07:20:56.604,1,EMA50,DEV,TARGET,12777
R4_TAIL3_4,8544,2026-08-06 07:21:43.568,1,EMA50,DEV,TARGET,4495
R4_TAIL3_4,8546,2026-08-06 07:22:12.648,1,EMA50,DEV,TARGET,186
R4_TAIL3_4,8552,2026-08-06 07:23:29.168,1,EMA50,DEV,STOP,3319
R4_TAIL3_4,8579,2026-08-06 07:26:16.640,-1,PIN7,DEV,TARGET,1113
R4_TAIL3_4,8587,2026-08-06 07:26:25.464,-1,EMA8,DEV,TARGET,2335
R4_TAIL3_4,8592,2026-08-06 07:26:46.488,-1,EMA8,DEV,STOP,1782
R4_TAIL3_4,8596,2026-08-06 07:26:59.852,-1,EMA24,DEV,TARGET,631
R4_TAIL3_4,8602,2026-08-06 07:27:17.072,-1,EMA8,DEV,TARGET,1
R4_TAIL3_4,8606,2026-08-06 07:27:26.228,-1,EMA24,DEV,TARGET,13022
R4_TAIL3_4,8629,2026-08-06 07:29:09.228,-1,PIN7,DEV,TARGET,4455
R4_TAIL3_4,8680,2026-08-06 07:33:05.392,-1,EMA50,DEV,TARGET,519
R4_TAIL3_4,8702,2026-08-06 07:35:25.256,1,EMA8,DEV,TARGET,7028
R4_TAIL3_4,8741,2026-08-06 07:39:33.204,-1,PIN7,DEV,TARGET,594
R4_TAIL3_4,8750,2026-08-06 07:40:23.296,-1,EMA24,DEV,TARGET,2659
R4_TAIL3_4,8781,2026-08-06 07:44:05.524,1,PIN7,DEV,STOP,3260
R4_TAIL3_4,8820,2026-08-06 07:50:00.072,-1,PIN7,DEV,TARGET,54
R4_TAIL3_4,8831,2026-08-06 07:51:18.680,-1,EMA50,DEV,TARGET,4518
R4_TAIL3_4,8875,2026-08-06 07:56:32.008,1,EMA8,DEV,TARGET,2
R4_TAIL3_4,8881,2026-08-06 07:57:21.844,1,EMA8,DEV,TARGET,2438
R4_TAIL3_4,9927,2026-08-06 11:05:36.944,1,PIN7,DEV,STOP,16182
R4_TAIL3_4,9931,2026-08-06 11:07:46.108,1,EMA8,DEV,TARGET,148
R4_TAIL3_4,9979,2026-08-06 11:18:20.376,1,EMA24,DEV,TARGET,10336
R4_TAIL3_4,9986,2026-08-06 11:22:50.504,1,EMA8,DEV,STOP,11662
R4_TAIL3_4,10028,2026-08-06 11:41:31.400,-1,EMA8,DEV,TARGET,392
R4_TAIL3_4,10084,2026-08-06 12:09:30.604,1,PIN7,DEV,TARGET,883
R4_TAIL3_4,10112,2026-08-06 12:24:47.184,-1,PIN7,DEV,TARGET,665
R4_TAIL3_4,10129,2026-08-06 12:27:31.320,-1,EMA8,DEV,TARGET,2667
R4_TAIL3_4,10133,2026-08-06 12:28:27.396,-1,EMA24,DEV,TARGET,3707
R4_TAIL3_4,10145,2026-08-06 12:31:21.052,-1,EMA24,DEV,STOP,5596
R4_TAIL3_4,10164,2026-08-06 12:39:47.836,-1,PIN7,DEV,TARGET,3652
R4_TAIL3_4,10177,2026-08-06 12:44:01.496,-1,EMA8,DEV,STOP,7288
R4_TAIL3_4,10192,2026-08-06 12:47:47.444,-1,EMA8,DEV,TARGET,547
R4_TAIL3_4,10210,2026-08-06 12:50:34.596,-1,EMA24,DEV,TARGET,565
R4_TAIL3_4,10216,2026-08-06 12:51:25.924,-1,EMA8,DEV,TARGET,11557
R4_TAIL3_4,10242,2026-08-06 12:54:06.020,1,EMA8,DEV,TARGET,641
R4_TAIL3_4,10258,2026-08-06 12:55:05.124,1,EMA8,DEV,STOP,1389
R4_TAIL3_4,10276,2026-08-06 12:58:50.408,1,PIN7,DEV,STOP,8009
R4_TAIL3_4,10278,2026-08-06 12:59:08.932,1,EMA8,DEV,TARGET,707
R4_TAIL3_4,11799,2026-08-07 06:32:00.356,1,PIN7,DEV,TARGET,1286
R4_TAIL3_4,11801,2026-08-07 06:32:07.536,1,PIN7,DEV,STOP,2369
R4_TAIL3_4,11805,2026-08-07 06:32:16.816,1,EMA24,DEV,TARGET,118
R4_TAIL3_4,11823,2026-08-07 06:33:06.996,1,PIN7,DEV,TARGET,3154
R4_TAIL3_4,11824,2026-08-07 06:33:13.588,1,PIN7,DEV,STOP,2248
R4_TAIL3_4,11827,2026-08-07 06:33:25.376,1,EMA24,DEV,STOP,2766
R4_TAIL3_4,11881,2026-08-07 06:36:23.004,-1,EMA8,DEV,TARGET,1
R4_TAIL3_4,11889,2026-08-07 06:36:38.916,-1,EMA8,DEV,TARGET,118
R4_TAIL3_4,11892,2026-08-07 06:36:51.952,-1,EMA8,DEV,STOP,3651
R4_TAIL3_4,11919,2026-08-07 06:38:05.220,1,PIN7,DEV,TARGET,1135
R4_TAIL3_4,11965,2026-08-07 06:40:48.420,1,PIN7,DEV,TARGET,2141
R4_TAIL3_4,11994,2026-08-07 06:42:17.012,-1,PIN7,DEV,STOP,3393
R4_TAIL3_4,11996,2026-08-07 06:42:21.532,-1,EMA8,DEV,STOP,13833
R4_TAIL3_4,12014,2026-08-07 06:43:19.172,1,PIN7,DEV,TARGET,8148
R4_TAIL3_4,12022,2026-08-07 06:44:01.240,1,PIN,DEV,STOP,8191
R4_TAIL3_4,12023,2026-08-07 06:44:10.852,1,PIN,DEV,STOP,2101
R4_TAIL3_4,12030,2026-08-07 06:44:44.828,1,EMA8,DEV,TARGET,426
R4_TAIL3_4,12283,2026-08-07 07:00:29.788,1,PIN7,DEV,TARGET,1850
R4_TAIL3_4,12289,2026-08-07 07:00:44.048,1,EMA8,DEV,TARGET,1
R4_TAIL3_4,12298,2026-08-07 07:01:08.768,1,EMA24,DEV,STOP,9566
R4_TAIL3_4,12356,2026-08-07 07:04:26.756,-1,EMA8,DEV,TARGET,547
R4_TAIL3_4,12359,2026-08-07 07:04:37.128,-1,EMA8,DEV,TARGET,830
R4_TAIL3_4,12364,2026-08-07 07:04:54.636,-1,EMA24,DEV,TARGET,436
R4_TAIL3_4,12441,2026-08-07 07:09:26.940,-1,PIN7,DEV,TARGET,6298
R4_TAIL3_4,12451,2026-08-07 07:10:21.828,-1,EMA8,DEV,STOP,922
R4_TAIL3_4,12456,2026-08-07 07:10:31.240,-1,EMA50,DEV,TARGET,302
R4_TAIL3_4,12474,2026-08-07 07:11:46.104,-1,PIN7,DEV,TARGET,1822
R4_TAIL3_4,12492,2026-08-07 07:13:02.988,-1,EMA24,DEV,TARGET,319
R4_TAIL3_4,12520,2026-08-07 07:14:33.456,-1,PIN7,DEV,TARGET,10801
R4_TAIL3_4,12550,2026-08-07 07:16:23.480,1,EMA8,DEV,TARGET,595
R4_TAIL3_4,12562,2026-08-07 07:17:25.736,1,EMA8,DEV,TARGET,2618
R4_TAIL3_4,12565,2026-08-07 07:17:33.540,1,EMA8,DEV,TARGET,26
R4_TAIL3_4,12573,2026-08-07 07:17:50.988,1,EMA8,DEV,TARGET,459
R4_TAIL3_4,12578,2026-08-07 07:18:02.916,1,EMA24,DEV,TARGET,5992
R4_TAIL3_4,12580,2026-08-07 07:18:16.740,1,EMA24,DEV,TARGET,17
R4_TAIL3_4,12590,2026-08-07 07:18:45.600,1,PIN7,DEV,TARGET,1027
R4_TAIL3_4,12592,2026-08-07 07:18:55.128,1,PIN7,DEV,TARGET,182
R4_TAIL3_4,12600,2026-08-07 07:19:51.900,1,EMA8,DEV,TARGET,543
R4_TAIL3_4,12618,2026-08-07 07:21:10.544,1,EMA8,DEV,STOP,1975
R4_TAIL3_4,12647,2026-08-07 07:23:55.384,1,PIN7,DEV,TARGET,323
R4_TAIL3_4,12653,2026-08-07 07:24:15.120,1,EMA8,DEV,TARGET,11285
R4_TAIL3_4,12657,2026-08-07 07:25:01.560,1,EMA8,DEV,TARGET,1035
R4_TAIL3_4,12670,2026-08-07 07:26:48.160,1,EMA8,DEV,TARGET,2397
R4_TAIL3_4,12672,2026-08-07 07:27:00.676,1,EMA8,DEV,TARGET,116
R4_TAIL3_4,12674,2026-08-07 07:27:07.228,1,EMA8,DEV,STOP,3249
R4_TAIL3_4,12683,2026-08-07 07:28:13.356,1,EMA8,DEV,TARGET,979
R4_TAIL3_4,12686,2026-08-07 07:28:27.920,1,EMA8,DEV,TARGET,1274
R4_TAIL3_4,12699,2026-08-07 07:30:03.204,1,EMA8,DEV,TARGET,17
R4_TAIL3_4,12762,2026-08-07 07:35:47.084,-1,PIN7,DEV,TARGET,28
R4_TAIL3_4,12774,2026-08-07 07:36:33.840,-1,EMA24,DEV,TARGET,1580
R4_TAIL3_4,12819,2026-08-07 07:40:04.708,-1,EMA8,DEV,STOP,4890
R4_TAIL3_4,12823,2026-08-07 07:40:17.728,-1,EMA24,DEV,STOP,9956
R4_TAIL3_4,12827,2026-08-07 07:40:36.032,-1,EMA50,DEV,STOP,6856
R4_TAIL3_4,12889,2026-08-07 07:45:43.064,1,EMA8,DEV,TARGET,2132
