bar,time,direction,body,tail,bar_distance8,close_depth,body_depth,core,strict,prime,segment,outcome
14486,2026-08-12 05:30:04.852,-1,2.0,3.0,-2.067,2,1,False,False,False,DEV,NONE
14508,2026-08-12 05:30:05.748,-1,2.0,3.0,-2.5068,0,0,False,False,False,DEV,TARGET
14518,2026-08-12 05:30:06.352,-1,2.0,3.0,-1.9316,0,0,False,False,False,DEV,TARGET
14523,2026-08-12 05:30:07.036,-1,1.0,4.0,6.4482,10,10,True,True,False,DEV,TARGET
14527,2026-08-12 05:30:07.488,-1,2.0,3.0,4.7267,10,10,True,True,False,DEV,TARGET
14535,2026-08-12 05:30:08.328,-1,2.0,3.0,-0.1223,6,1,False,False,False,DEV,TARGET
14563,2026-08-12 05:30:11.424,-1,1.0,4.0,-1.0276,0,0,False,False,False,DEV,TARGET
14567,2026-08-12 05:30:11.540,-1,2.0,3.0,3.5668,10,10,False,False,False,DEV,TARGET
14568,2026-08-12 05:30:11.648,-1,2.0,3.0,3.9964,10,10,False,False,False,DEV,TARGET
14572,2026-08-12 05:30:12.388,-1,0.0,5.0,-2.1793,0,0,False,False,False,DEV,TARGET
14575,2026-08-12 05:30:12.536,-1,0.0,5.0,-2.0981,0,0,False,False,False,DEV,TARGET
14576,2026-08-12 05:30:12.588,-1,0.0,5.0,-1.9652,1,1,False,False,False,DEV,TARGET
14579,2026-08-12 05:30:12.944,-1,1.0,4.0,-2.5639,0,0,False,False,False,DEV,STOP
14607,2026-08-12 05:30:40.804,1,2.0,3.0,-0.5247,6,1,False,False,False,DEV,STOP
14628,2026-08-12 05:31:47.072,1,1.0,4.0,-0.5729,2,1,False,False,False,DEV,TARGET
14634,2026-08-12 05:32:08.380,1,0.0,5.0,1.0048,1,1,False,False,False,DEV,TARGET
14636,2026-08-12 05:32:13.112,1,2.0,3.0,4.5955,10,10,True,True,False,DEV,TARGET
14638,2026-08-12 05:32:26.656,1,1.0,4.0,-1.0101,0,0,False,False,False,DEV,TARGET
14639,2026-08-12 05:32:31.948,1,2.0,3.0,0.4366,1,1,False,False,False,DEV,TARGET
14640,2026-08-12 05:32:53.444,1,0.0,5.0,0.0062,2,2,False,False,False,DEV,TARGET
14645,2026-08-12 05:33:33.676,1,2.0,3.0,-1.8392,1,1,False,False,False,DEV,TARGET
14653,2026-08-12 05:34:40.376,1,0.0,5.0,1.1864,10,10,False,False,False,DEV,STOP
14687,2026-08-12 05:43:34.204,1,0.0,5.0,1.6061,10,10,False,False,False,DEV,STOP
14710,2026-08-12 05:59:56.436,1,1.0,4.0,1.5159,10,10,False,False,False,DEV,TARGET
14713,2026-08-12 06:02:39.312,1,1.0,4.0,-1.0508,1,1,False,False,False,DEV,TARGET
14724,2026-08-12 06:11:20.288,1,0.0,5.0,-3.5563,1,1,False,False,False,DEV,TARGET
14727,2026-08-12 06:15:48.528,1,2.0,3.0,-2.189,1,1,False,False,False,DEV,TARGET
14740,2026-08-12 06:28:49.828,1,2.0,3.0,-0.9296,0,0,False,False,False,DEV,TARGET
14743,2026-08-12 06:30:00.188,1,1.0,4.0,-0.0506,3,1,False,False,False,DEV,TARGET
14765,2026-08-12 06:31:20.752,-1,2.0,3.0,7.0461,10,10,True,True,True,DEV,TARGET
14766,2026-08-12 06:31:26.692,-1,2.0,3.0,6.7026,10,10,True,True,True,DEV,TARGET
14778,2026-08-12 06:32:58.308,-1,0.0,5.0,0.0075,3,3,False,False,True,DEV,TARGET
14783,2026-08-12 06:33:21.676,-1,0.0,5.0,-2.1273,1,1,False,False,True,DEV,STOP
14789,2026-08-12 06:34:00.196,-1,1.0,4.0,-3.3647,3,3,False,False,True,DEV,STOP
14799,2026-08-12 06:35:00.168,-1,2.0,3.0,-1.9496,3,3,False,False,True,DEV,TARGET
14831,2026-08-12 06:38:44.284,-1,2.0,3.0,2.0907,10,10,False,False,True,DEV,TARGET
14833,2026-08-12 06:39:11.060,-1,2.0,3.0,-2.3525,0,0,False,False,True,DEV,TARGET
14834,2026-08-12 06:39:27.228,-1,1.0,4.0,-1.3853,1,1,False,False,True,DEV,TARGET
14836,2026-08-12 06:40:03.360,-1,2.0,3.0,2.5447,10,10,False,False,True,DEV,TARGET
14839,2026-08-12 06:40:23.876,-1,0.0,5.0,4.7048,10,10,False,False,True,DEV,STOP
14866,2026-08-12 06:44:24.288,-1,1.0,4.0,-1.1935,5,1,False,False,True,DEV,TARGET
14874,2026-08-12 06:45:27.008,-1,1.0,4.0,-3.5296,1,1,False,False,False,DEV,TARGET
14875,2026-08-12 06:45:43.296,-1,1.0,4.0,-2.3008,5,3,False,False,False,DEV,TARGET
14879,2026-08-12 06:46:19.760,-1,2.0,3.0,2.13,10,10,False,False,False,DEV,TARGET
14881,2026-08-12 06:46:34.376,-1,0.0,5.0,3.1157,10,10,False,False,False,DEV,STOP
14906,2026-08-12 06:49:51.548,1,2.0,3.0,-2.2515,2,1,False,False,False,DEV,STOP
14931,2026-08-12 06:54:44.296,-1,2.0,3.0,0.3694,5,5,False,False,False,DEV,TARGET
14934,2026-08-12 06:55:07.772,-1,2.0,3.0,0.263,10,1,False,False,False,DEV,TARGET
14975,2026-08-12 07:02:32.248,-1,2.0,3.0,2.0987,10,9,False,False,True,DEV,TARGET
14978,2026-08-12 07:03:30.560,-1,0.0,5.0,0.5965,1,1,False,False,True,DEV,TARGET
15012,2026-08-12 07:13:42.764,-1,1.0,4.0,-1.6221,0,0,False,False,True,DEV,STOP
15020,2026-08-12 07:16:09.928,1,1.0,4.0,0.9338,10,10,False,False,True,DEV,TARGET
15028,2026-08-12 07:18:18.288,1,2.0,3.0,1.271,10,10,False,False,True,DEV,TARGET
15055,2026-08-12 07:25:41.840,1,1.0,4.0,-2.6715,0,0,False,False,True,DEV,TARGET
15092,2026-08-12 07:31:10.132,-1,0.0,5.0,0.1471,0,0,False,False,True,DEV,TARGET
15146,2026-08-12 07:31:46.028,1,2.0,3.0,0.5272,9,9,False,False,True,DEV,STOP
15148,2026-08-12 07:32:03.888,1,2.0,3.0,-2.0885,0,0,False,False,True,DEV,STOP
