name,n,resolved,target,stop,none,rate,expectancy,dev_n,dev_rate,hold_n,hold_rate
PRIME:ANY_BODY:body_depth>=1,135,135,98,37,0,72.5925925925926,0.8888888888888888,66,68.18181818181819,69,76.81159420289855
PRIME:RESCUE:ANY_BODY:body_depth>=1,68,68,44,24,0,64.70588235294117,-0.29411764705882354,37,64.86486486486487,31,64.51612903225806
PRIME:ANY_BODY:body_depth>=2,120,120,89,31,0,74.16666666666667,1.125,60,68.33333333333333,60,80.0
PRIME:RESCUE:ANY_BODY:body_depth>=2,56,56,37,19,0,66.07142857142857,-0.08928571428571429,31,64.51612903225806,25,68.0
PRIME:ANY_BODY:body_depth>=3,118,118,89,29,0,75.42372881355932,1.3135593220338984,59,69.49152542372882,59,81.35593220338983
PRIME:RESCUE:ANY_BODY:body_depth>=3,54,54,37,17,0,68.51851851851852,0.2777777777777778,30,66.66666666666667,24,70.83333333333333
PRIME:ANY_BODY:body_depth>=5,117,117,88,29,0,75.21367521367522,1.2820512820512822,58,68.96551724137932,59,81.35593220338983
PRIME:RESCUE:ANY_BODY:body_depth>=5,53,53,36,17,0,67.9245283018868,0.18867924528301888,29,65.51724137931035,24,70.83333333333333
PRIME:ANY_BODY:body_depth>=7,117,117,88,29,0,75.21367521367522,1.2820512820512822,58,68.96551724137932,59,81.35593220338983
PRIME:RESCUE:ANY_BODY:body_depth>=7,53,53,36,17,0,67.9245283018868,0.18867924528301888,29,65.51724137931035,24,70.83333333333333
PRIME:ANY_BODY:body_depth>=10,116,116,87,29,0,75.0,1.25,57,68.42105263157895,59,81.35593220338983
PRIME:RESCUE:ANY_BODY:body_depth>=10,52,52,35,17,0,67.3076923076923,0.09615384615384616,28,64.28571428571429,24,70.83333333333333
PRIME:BODY_1_2:close_depth>=1,135,135,98,37,0,72.5925925925926,0.8888888888888888,66,68.18181818181819,69,76.81159420289855
PRIME:RESCUE:BODY_1_2:close_depth>=1,68,68,44,24,0,64.70588235294117,-0.29411764705882354,37,64.86486486486487,31,64.51612903225806
PRIME:BODY_1_2:close_depth>=2,130,130,96,34,0,73.84615384615384,1.0769230769230769,64,68.75,66,78.78787878787878
PRIME:RESCUE:BODY_1_2:close_depth>=2,63,63,42,21,0,66.66666666666667,0.0,35,65.71428571428571,28,67.85714285714286
PRIME:BODY_1_2:close_depth>=3,129,129,96,33,0,74.4186046511628,1.1627906976744187,64,68.75,65,80.0
PRIME:RESCUE:BODY_1_2:close_depth>=3,62,62,42,20,0,67.74193548387096,0.16129032258064516,35,65.71428571428571,27,70.37037037037037
PRIME:BODY_1_2:close_depth>=5,129,129,96,33,0,74.4186046511628,1.1627906976744187,64,68.75,65,80.0
PRIME:RESCUE:BODY_1_2:close_depth>=5,62,62,42,20,0,67.74193548387096,0.16129032258064516,35,65.71428571428571,27,70.37037037037037
PRIME:BODY_1_2:close_depth>=7,129,129,96,33,0,74.4186046511628,1.1627906976744187,64,68.75,65,80.0
PRIME:RESCUE:BODY_1_2:close_depth>=7,62,62,42,20,0,67.74193548387096,0.16129032258064516,35,65.71428571428571,27,70.37037037037037
PRIME:BODY_1_2:close_depth>=10,128,128,95,33,0,74.21875,1.1328125,63,68.25396825396825,65,80.0
PRIME:RESCUE:BODY_1_2:close_depth>=10,61,61,41,20,0,67.21311475409836,0.08196721311475409,34,64.70588235294117,27,70.37037037037037
PRIME:BODY_1_2:body_depth>=1,135,135,98,37,0,72.5925925925926,0.8888888888888888,66,68.18181818181819,69,76.81159420289855
PRIME:RESCUE:BODY_1_2:body_depth>=1,68,68,44,24,0,64.70588235294117,-0.29411764705882354,37,64.86486486486487,31,64.51612903225806
PRIME:BODY_1_2:body_depth>=2,120,120,89,31,0,74.16666666666667,1.125,60,68.33333333333333,60,80.0
PRIME:RESCUE:BODY_1_2:body_depth>=2,56,56,37,19,0,66.07142857142857,-0.08928571428571429,31,64.51612903225806,25,68.0
PRIME:BODY_1_2:body_depth>=3,118,118,89,29,0,75.42372881355932,1.3135593220338984,59,69.49152542372882,59,81.35593220338983
PRIME:RESCUE:BODY_1_2:body_depth>=3,54,54,37,17,0,68.51851851851852,0.2777777777777778,30,66.66666666666667,24,70.83333333333333
PRIME:BODY_1_2:body_depth>=5,117,117,88,29,0,75.21367521367522,1.2820512820512822,58,68.96551724137932,59,81.35593220338983
PRIME:RESCUE:BODY_1_2:body_depth>=5,53,53,36,17,0,67.9245283018868,0.18867924528301888,29,65.51724137931035,24,70.83333333333333
PRIME:BODY_1_2:body_depth>=7,117,117,88,29,0,75.21367521367522,1.2820512820512822,58,68.96551724137932,59,81.35593220338983
PRIME:RESCUE:BODY_1_2:body_depth>=7,53,53,36,17,0,67.9245283018868,0.18867924528301888,29,65.51724137931035,24,70.83333333333333
PRIME:BODY_1_2:body_depth>=10,116,116,87,29,0,75.0,1.25,57,68.42105263157895,59,81.35593220338983
PRIME:RESCUE:BODY_1_2:body_depth>=10,52,52,35,17,0,67.3076923076923,0.09615384615384616,28,64.28571428571429,24,70.83333333333333
