Version,Families,BarNumber,Time,Direction,Segment,TickOutcome,TicksSeen
CURRENT,EMA8,7516,2026-08-06 06:43:52.588,1,DEV,TARGET,3511
CURRENT,EMA8,7709,2026-08-06 07:07:48.944,1,DEV,TARGET,14500
CURRENT,EMA8,7711,2026-08-06 07:08:14.028,1,DEV,TARGET,7045
CURRENT,EMA8,7713,2026-08-06 07:08:50.888,1,DEV,TARGET,1187
CURRENT,EMA8,7723,2026-08-06 07:10:43.428,1,DEV,TARGET,4874
CURRENT,EMA8,7727,2026-08-06 07:12:00.300,1,DEV,STOP,7349
CURRENT,EMA8,7791,2026-08-06 07:26:31.688,-1,DEV,TARGET,1
CURRENT,EMA8,7799,2026-08-06 07:27:14.708,-1,DEV,STOP,19763
CURRENT,EMA8,7801,2026-08-06 07:27:17.480,-1,DEV,STOP,18332
CURRENT,EMA8,7803,2026-08-06 07:27:27.176,-1,DEV,STOP,14902
CURRENT,PIN7,7879,2026-08-06 07:37:28.884,-1,DEV,TARGET,18771
CURRENT,PIN7,7885,2026-08-06 07:38:59.048,-1,DEV,TARGET,9619
CURRENT,EMA8,7931,2026-08-06 07:46:04.168,-1,DEV,TARGET,8994
CURRENT,EMA8,7933,2026-08-06 07:46:41.772,-1,DEV,TARGET,1685
CURRENT,EMA8,7936,2026-08-06 07:47:24.664,-1,DEV,TARGET,12801
CURRENT,EMA8,7938,2026-08-06 07:48:13.348,-1,DEV,TARGET,1873
CURRENT,EMA8,7973,2026-08-06 07:55:29.052,1,DEV,TARGET,6546
CURRENT,EMA8,7975,2026-08-06 07:55:40.624,1,DEV,TARGET,3298
CURRENT,PIN7,7978,2026-08-06 07:56:14.760,1,DEV,TARGET,7557
CURRENT,EMA8,7980,2026-08-06 07:56:32.088,1,DEV,TARGET,2479
CURRENT,EMA24,7994,2026-08-06 07:59:13.636,1,DEV,TARGET,877
CURRENT,PIN7,8677,2026-08-06 11:05:36.956,1,DEV,STOP,16441
CURRENT,EMA24,8684,2026-08-06 11:09:42.676,1,DEV,TARGET,1233
CURRENT,PIN7,8701,2026-08-06 11:16:21.144,1,DEV,TARGET,2597
CURRENT,PIN7,8702,2026-08-06 11:16:42.048,1,DEV,TARGET,1441
CURRENT,EMA24,8716,2026-08-06 11:20:01.468,1,DEV,TARGET,4430
CURRENT,EMA8,8782,2026-08-06 12:06:33.832,1,DEV,TARGET,5907
CURRENT,PIN7,8788,2026-08-06 12:12:07.476,1,DEV,STOP,3018
CURRENT,EMA8,8811,2026-08-06 12:25:50.168,-1,DEV,STOP,2165
CURRENT,EMA24,8814,2026-08-06 12:26:17.040,-1,DEV,TARGET,807
CURRENT,EMA8,8818,2026-08-06 12:27:38.708,-1,DEV,TARGET,9418
CURRENT,PIN7,8842,2026-08-06 12:39:00.620,-1,DEV,TARGET,6349
CURRENT,PIN7,8843,2026-08-06 12:40:00.680,-1,DEV,TARGET,6236
CURRENT,PIN7,8844,2026-08-06 12:40:34.152,-1,DEV,TARGET,4212
CURRENT,PIN7,8845,2026-08-06 12:41:21.528,-1,DEV,TARGET,1623
CURRENT,PIN_STRICT,8847,2026-08-06 12:42:01.880,-1,DEV,TARGET,5327
CURRENT,EMA24,8858,2026-08-06 12:46:17.460,-1,DEV,TARGET,201
CURRENT,EMA8,8885,2026-08-06 12:51:52.356,-1,DEV,STOP,9941
CURRENT,EMA8,8906,2026-08-06 12:54:39.372,1,DEV,STOP,14004
CURRENT,EMA8,8910,2026-08-06 12:55:00.280,1,DEV,TARGET,1925
CURRENT,EMA8,9976,2026-08-07 06:32:21.132,1,DEV,STOP,9353
CURRENT,PIN7,9986,2026-08-07 06:33:17.020,1,DEV,STOP,1334
CURRENT,EMA8,10033,2026-08-07 06:36:39.064,-1,DEV,TARGET,930
CURRENT,EMA24,10058,2026-08-07 06:39:17.644,1,DEV,TARGET,4551
CURRENT,EMA8,10092,2026-08-07 06:41:51.860,1,DEV,STOP,1511
CURRENT,PIN7,10114,2026-08-07 06:43:30.996,1,DEV,TARGET,4531
CURRENT,PIN7,10115,2026-08-07 06:43:45.948,1,DEV,TARGET,1190
CURRENT,PIN_STRICT,10119,2026-08-07 06:44:04.288,1,DEV,TARGET,16453
CURRENT,EMA8,10122,2026-08-07 06:44:38.264,1,DEV,TARGET,2631
CURRENT,EMA24,10314,2026-08-07 07:01:12.332,1,DEV,STOP,9360
CURRENT,PIN7,10350,2026-08-07 07:04:01.160,-1,DEV,TARGET,2767
CURRENT,PIN7,10351,2026-08-07 07:04:07.676,-1,DEV,TARGET,172
CURRENT,PIN7,10416,2026-08-07 07:09:46.176,-1,DEV,TARGET,1122
CURRENT,EMA8,10421,2026-08-07 07:10:15.448,-1,DEV,TARGET,7812
CURRENT,PIN7,10436,2026-08-07 07:11:37.476,-1,DEV,TARGET,4849
CURRENT,PIN7,10437,2026-08-07 07:11:51.784,-1,DEV,TARGET,2124
CURRENT,EMA8,10492,2026-08-07 07:17:33.552,1,DEV,TARGET,494
CURRENT,EMA8,10499,2026-08-07 07:17:51.784,1,DEV,TARGET,21708
CURRENT,EMA8,10506,2026-08-07 07:18:36.064,1,DEV,TARGET,2272
CURRENT,PIN7,10508,2026-08-07 07:18:45.692,1,DEV,TARGET,2894
CURRENT,EMA24,10533,2026-08-07 07:22:35.944,1,DEV,TARGET,12442
CURRENT,PIN7,10542,2026-08-07 07:23:37.936,1,DEV,TARGET,2554
