EMA,PullbackBars,Shape,Prior24Min,CurrentSlopeMin,Gap1Min,Gap2OrPenMin,PenMax,RecoveryOrDispMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,1,no_tail,20,15,3,1,4.5,0,74,55,74.32,61,42,68.85
8,1,no_tail,20,15,3,1,6,0,74,55,74.32,61,42,68.85
8,1,no_tail,20,15,5,0,2.5,0,69,49,71.01,49,35,71.43
8,1,no_tail,20,15,5,0,4.5,0,76,53,69.74,55,39,70.91
8,1,no_tail,20,15,5,0,6,0,76,53,69.74,55,39,70.91
8,1,no_tail,20,15,5,1,2.5,0,41,29,70.73,31,21,67.74
8,1,no_tail,20,15,5,1,4.5,0,48,33,68.75,37,25,67.57
8,1,no_tail,20,15,5,1,6,0,48,33,68.75,37,25,67.57
8,1,no_tail,20,30,3,0,2.5,0,88,66,75.0,65,46,70.77
8,1,no_tail,20,30,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,30,3,0,4.5,0,88,66,75.0,65,46,70.77
8,1,no_tail,20,30,3,0,4.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,30,3,0,6,0,88,66,75.0,65,46,70.77
8,1,no_tail,20,30,3,0,6,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,30,3,1,2.5,0,48,36,75.0,39,28,71.79
8,1,no_tail,20,30,3,1,4.5,0,48,36,75.0,39,28,71.79
8,1,no_tail,20,30,3,1,6,0,48,36,75.0,39,28,71.79
8,1,no_tail,20,30,5,0,2.5,0,60,42,70.0,44,31,70.45
8,1,no_tail,20,30,5,0,4.5,0,60,42,70.0,44,31,70.45
8,1,no_tail,20,30,5,0,6,0,60,42,70.0,44,31,70.45
8,1,no_tail,20,30,5,1,2.5,0,32,22,68.75,26,17,65.38
8,1,no_tail,20,30,5,1,4.5,0,32,22,68.75,26,17,65.38
8,1,no_tail,20,30,5,1,6,0,32,22,68.75,26,17,65.38
8,1,no_tail,30,0,3,0,2.5,0,88,66,75.0,68,45,66.18
8,1,no_tail,30,0,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,0,3,0,4.5,0,126,91,72.22,99,66,66.67
8,1,no_tail,30,0,3,0,4.5,1,4,3,75.0,7,4,57.14
8,1,no_tail,30,0,3,0,6,0,126,91,72.22,99,66,66.67
8,1,no_tail,30,0,3,0,6,1,4,3,75.0,7,4,57.14
8,1,no_tail,30,0,3,1,2.5,0,54,41,75.93,43,27,62.79
8,1,no_tail,30,0,3,1,4.5,0,92,66,71.74,74,48,64.86
8,1,no_tail,30,0,3,1,4.5,1,2,1,50.0,7,4,57.14
8,1,no_tail,30,0,3,1,6,0,92,66,71.74,74,48,64.86
8,1,no_tail,30,0,3,1,6,1,2,1,50.0,7,4,57.14
8,1,no_tail,30,0,5,0,2.5,0,69,49,71.01,49,35,71.43
8,1,no_tail,30,0,5,0,4.5,0,88,62,70.45,67,48,71.64
8,1,no_tail,30,0,5,0,4.5,1,4,3,75.0,3,2,66.67
8,1,no_tail,30,0,5,0,6,0,88,62,70.45,67,48,71.64
8,1,no_tail,30,0,5,0,6,1,4,3,75.0,3,2,66.67
8,1,no_tail,30,0,5,1,2.5,0,41,29,70.73,31,21,67.74
8,1,no_tail,30,0,5,1,4.5,0,60,42,70.0,49,34,69.39
8,1,no_tail,30,0,5,1,4.5,1,2,1,50.0,3,2,66.67
8,1,no_tail,30,0,5,1,6,0,60,42,70.0,49,34,69.39
8,1,no_tail,30,0,5,1,6,1,2,1,50.0,3,2,66.67
8,1,no_tail,30,15,3,0,2.5,0,88,66,75.0,68,45,66.18
8,1,no_tail,30,15,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,15,3,0,4.5,0,101,74,73.27,78,52,66.67
8,1,no_tail,30,15,3,0,4.5,1,2,2,100.0,3,2,66.67
8,1,no_tail,30,15,3,0,6,0,101,74,73.27,78,52,66.67
8,1,no_tail,30,15,3,0,6,1,2,2,100.0,3,2,66.67
8,1,no_tail,30,15,3,1,2.5,0,54,41,75.93,43,27,62.79
8,1,no_tail,30,15,3,1,4.5,0,67,49,73.13,53,34,64.15
8,1,no_tail,30,15,3,1,6,0,67,49,73.13,53,34,64.15
8,1,no_tail,30,15,5,0,2.5,0,69,49,71.01,49,35,71.43
8,1,no_tail,30,15,5,0,4.5,0,76,53,69.74,55,39,70.91
8,1,no_tail,30,15,5,0,6,0,76,53,69.74,55,39,70.91
8,1,no_tail,30,15,5,1,2.5,0,41,29,70.73,31,21,67.74
8,1,no_tail,30,15,5,1,4.5,0,48,33,68.75,37,25,67.57
8,1,no_tail,30,15,5,1,6,0,48,33,68.75,37,25,67.57
8,1,no_tail,30,30,3,0,2.5,0,77,57,74.03,59,41,69.49
8,1,no_tail,30,30,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,30,3,0,4.5,0,77,57,74.03,59,41,69.49
8,1,no_tail,30,30,3,0,4.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,30,3,0,6,0,77,57,74.03,59,41,69.49
8,1,no_tail,30,30,3,0,6,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,30,3,1,2.5,0,43,32,74.42,34,23,67.65
8,1,no_tail,30,30,3,1,4.5,0,43,32,74.42,34,23,67.65
8,1,no_tail,30,30,3,1,6,0,43,32,74.42,34,23,67.65
8,1,no_tail,30,30,5,0,2.5,0,60,42,70.0,44,31,70.45
8,1,no_tail,30,30,5,0,4.5,0,60,42,70.0,44,31,70.45
8,1,no_tail,30,30,5,0,6,0,60,42,70.0,44,31,70.45
8,1,no_tail,30,30,5,1,2.5,0,32,22,68.75,26,17,65.38
8,1,no_tail,30,30,5,1,4.5,0,32,22,68.75,26,17,65.38
8,1,no_tail,30,30,5,1,6,0,32,22,68.75,26,17,65.38
8,1,no_tail,39,0,3,0,2.5,0,67,52,77.61,54,36,66.67
8,1,no_tail,39,0,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,0,3,0,4.5,0,97,73,75.26,75,51,68.0
8,1,no_tail,39,0,3,0,4.5,1,4,3,75.0,5,4,80.0
8,1,no_tail,39,0,3,0,6,0,97,73,75.26,75,51,68.0
8,1,no_tail,39,0,3,0,6,1,4,3,75.0,5,4,80.0
8,1,no_tail,39,0,3,1,2.5,0,40,31,77.5,33,21,63.64
8,1,no_tail,39,0,3,1,4.5,0,70,52,74.29,54,36,66.67
8,1,no_tail,39,0,3,1,4.5,1,2,1,50.0,5,4,80.0
8,1,no_tail,39,0,3,1,6,0,70,52,74.29,54,36,66.67
8,1,no_tail,39,0,3,1,6,1,2,1,50.0,5,4,80.0
8,1,no_tail,39,0,5,0,2.5,0,62,47,75.81,46,33,71.74
8,1,no_tail,39,0,5,0,4.5,0,81,60,74.07,63,46,73.02
8,1,no_tail,39,0,5,0,4.5,1,4,3,75.0,3,2,66.67
8,1,no_tail,39,0,5,0,6,0,81,60,74.07,63,46,73.02
8,1,no_tail,39,0,5,0,6,1,4,3,75.0,3,2,66.67
8,1,no_tail,39,0,5,1,2.5,0,36,27,75.0,28,19,67.86
8,1,no_tail,39,0,5,1,4.5,0,55,40,72.73,45,32,71.11
8,1,no_tail,39,0,5,1,4.5,1,2,1,50.0,3,2,66.67
8,1,no_tail,39,0,5,1,6,0,55,40,72.73,45,32,71.11
8,1,no_tail,39,0,5,1,6,1,2,1,50.0,3,2,66.67
8,1,no_tail,39,15,3,0,2.5,0,67,52,77.61,54,36,66.67
8,1,no_tail,39,15,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,15,3,0,4.5,0,75,57,76.0,59,40,67.8
8,1,no_tail,39,15,3,0,4.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,15,3,0,6,0,75,57,76.0,59,40,67.8
8,1,no_tail,39,15,3,0,6,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,15,3,1,2.5,0,40,31,77.5,33,21,63.64
8,1,no_tail,39,15,3,1,4.5,0,48,36,75.0,38,25,65.79
8,1,no_tail,39,15,3,1,6,0,48,36,75.0,38,25,65.79
8,1,no_tail,39,15,5,0,2.5,0,62,47,75.81,46,33,71.74
8,1,no_tail,39,15,5,0,4.5,0,69,51,73.91,51,37,72.55
8,1,no_tail,39,15,5,0,6,0,69,51,73.91,51,37,72.55
8,1,no_tail,39,15,5,1,2.5,0,36,27,75.0,28,19,67.86
8,1,no_tail,39,15,5,1,4.5,0,43,31,72.09,33,23,69.7
8,1,no_tail,39,15,5,1,6,0,43,31,72.09,33,23,69.7
8,1,no_tail,39,30,3,0,2.5,0,58,45,77.59,47,32,68.09
8,1,no_tail,39,30,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,30,3,0,4.5,0,58,45,77.59,47,32,68.09
8,1,no_tail,39,30,3,0,4.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,30,3,0,6,0,58,45,77.59,47,32,68.09
8,1,no_tail,39,30,3,0,6,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,30,3,1,2.5,0,31,24,77.42,26,17,65.38
8,1,no_tail,39,30,3,1,4.5,0,31,24,77.42,26,17,65.38
8,1,no_tail,39,30,3,1,6,0,31,24,77.42,26,17,65.38
8,1,no_tail,39,30,5,0,2.5,0,55,42,76.36,41,29,70.73
8,1,no_tail,39,30,5,0,4.5,0,55,42,76.36,41,29,70.73
8,1,no_tail,39,30,5,0,6,0,55,42,76.36,41,29,70.73
8,1,no_tail,39,30,5,1,2.5,0,29,22,75.86,23,15,65.22
8,1,no_tail,39,30,5,1,4.5,0,29,22,75.86,23,15,65.22
8,1,no_tail,39,30,5,1,6,0,29,22,75.86,23,15,65.22
8,1,no_tail,45,0,3,0,2.5,0,44,33,75.0,32,23,71.88
8,1,no_tail,45,0,3,0,2.5,1,1,1,100.0,1,1,100.0
8,1,no_tail,45,0,3,0,4.5,0,62,46,74.19,42,31,73.81
